video_url,prompt
https://static.higgsfield.ai/da804841-95ae-4a2b-b83e-ebd8872961ec.mp4,"A confident young woman with cornrow braids and a black halter top wears oversized futuristic headphones adorned with metallic and colorful wires. She stands in a clean minimal studio with soft, even lighting and a white backdrop. Slowly, she turns her head toward the camera, her brows subtly furrowed in concentration, as if sensing something unusual in the sound. The atmosphere is focused and futuristic, creating an intimate connection in the studio-lit environment. Her sleek, tech-infused streetwear features high-detail textures and accessories, enhancing the modern aesthetic. Floating playfully around her face is a small glowing green jellyfish, softly pulsing with light and casting ethereal reflections on her cheek and shoulder."
https://static.higgsfield.ai/f907dba0-9a23-4308-9677-fe0de6b72393.mp4,"A surreal, fashion-forward street photo of a tall young Black man standing shoulder to shoulder with a humanoid green alien in front of a smooth blue wall. The man wears a crisp oversized white t-shirt, black pants with silver chain accessories, and a silver necklace with a pendant. He tilts his head slightly and smirks at the camera, exuding casual cool. The alien stands with a relaxed posture, wearing a plain navy t-shirt, its large black eyes giving a calm, curious gaze. Both figures lean slightly into each other as if posing like longtime friends. Floating playfully around the alien’s face is a small glowing green jellyfish, softly pulsing with light and casting ethereal reflections on its cheek and shoulder. The composition is minimal, but the mood is eccentric, futuristic, and editorial."
https://static.higgsfield.ai/ea1d9f2a-a106-4def-b1e0-74f8f041ef73.mp4,"A studio fashion portrait of a confident young woman wearing a loose maroon football jersey with bold white “22” and “YOUNGSTAR” lettering, paired with black pants. Her voluminous curly hair frames her face as she gently shifts her weight to one side, letting a few strands fall forward while her fingers casually adjust the hem of the jersey. Her expression is cool and self-assured. Floating playfully around her face is a small glowing green fish, softly pulsing with light and casting ethereal reflections on her cheek, curls, and collar."
https://static.higgsfield.ai/c6b58b47-5f47-4df4-847d-7a870706385a.mp4,"A cinematic low-angle photo of a stylish young man with a black durag and snapback hat worn backwards, turning sharply over his shoulder toward the camera with intense focus. The late afternoon sun casts dramatic shadows across his cheek and jawline, enhancing the reflective red-orange sports sunglasses he wears. A group of people is mirrored in the lens, hinting at a bustling urban scene behind the frame. His oversized black tee sways slightly in the breeze. Floating playfully around his face is a small glowing green jellyfish, softly pulsing with light and casting ethereal reflections on his cheek and shoulder. The atmosphere is gritty yet surreal—like a moment plucked from a sci-fi music video."
https://static.higgsfield.ai/5692b241-5006-4255-855a-01dc1e225fe8.mp4,"A sunlit urban portrait of a stylish young man sitting relaxed on the concrete pavement in front of a closed garage door. He wears a bright yellow oversized jersey with the number 23, layered chains, baggy jeans embroidered with graphic patches, and bold yellow-and-white sneakers. Headphones rest over his ears, and his body language is chill, unfazed. Surrounding him in loose, drifting motion are several glowing yellow fish—vivid and translucent, like molten glass infused with light. They hover gently in the air near his shoulders and above his lap, casting soft golden reflections on the concrete beneath them. The sunlight hits their bodies, intensifying the glow and giving the surreal illusion that they’re made of animated sunlight itself. The effect adds a strange, radiant calm to the streetwear aesthetic—turning a casual moment into a low-key magical vision. Framed from a slightly high angle, with strong natural shadows and stylized contrast."
https://static.higgsfield.ai/787d14c5-afc3-4002-9df2-665dbccfa62b.mp4,"A vibrant, wide-angle urban fashion photo of a young woman bending slightly forward with confident attitude, hands on her hips, as she strikes a fierce pose on a city street. Her hair is styled into multiple braided buns, with colorful beaded braids framing her intense eyes. She wears a crisp white button-up shirt tied at the waist, a pleated neon green mini skirt, and pointed white boots. A rainbow silk scarf is wrapped around her neck, fluttering gently as she moves. Her dramatic pink and turquoise eye makeup enhances her bold look. Floating playfully around her face is a small glowing green jellyfish, softly pulsing with light and casting ethereal reflections on her cheek and shoulder. Shot with a low fisheye perspective for a bold, energetic street-style aesthetic."
https://static.higgsfield.ai/dbd961b3-b36b-45f2-9e16-a3fd86faa24d.mp4,"A natural-light street fashion photo of a young woman walking through a busy city crosswalk, surrounded by tall buildings and blurred pedestrians. She wears oversized black headphones, a glossy olive green bomber jacket, a white cropped turtleneck, and beige cargo pants. As she lightly adjusts her jacket with both hands, her head turns slightly to the side, eyes scanning the street ahead, capturing a candid sense of motion and focus. Floating playfully around her face is a small glowing green jellyfish, softly pulsing with light and casting ethereal reflections on her cheek, headphones, and zipper."
https://static.higgsfield.ai/0f51e97c-3475-48e2-971b-fa27811cd1da.mp4,"A high-contrast studio fashion shot of a stylish man dressed in a glossy black puffer jacket with the hood tightly drawn around his face. He wears futuristic black sunglasses and multiple bold gemstone rings on both hands, pulling the hood strings outward with a confident stance. The white background enhances the dramatic silhouette and texture of the jacket. Floating playfully around his body is a small glowing green jellyfish, softly pulsing with light and casting ethereal reflections across his puffer coat and rings."
https://static.higgsfield.ai/618d859d-f37e-49e4-86e8-d0faccd59b1b.mp4,"A high-fashion editorial photo of a poised woman kneeling on a white studio floor surrounded by scattered open fashion magazines. She wears a structured gray mini dress over a crisp white shirt, patterned black tights, black heels, and bold gold accessories. Her sleek hair is pulled back with a black headband, and she gazes sharply over her glasses with controlled intensity. Subtly orbiting around her upper body are a few small, luminous blue fish—no more than four or five—gliding slowly through the air in graceful, circular motion. Their iridescent bodies shimmer like sapphire glass, leaving delicate trails of soft light as they pass. The surreal contrast of the aquatic motion against the stark editorial setting adds a quiet, fantastical tension—like a visual whisper disrupting the precision of fashion rules. The lighting is bright and clinical, highlighting the textures of fabric, skin, and gloss, while the fish remain gently glowing, almost ghostlike within the frame."
https://static.higgsfield.ai/88644ec4-cc2b-440c-aae6-10d64ef163e3.mp4,"A sleek full-body fashion studio portrait of a young man with short locs, wearing a black tracksuit with bold white and yellow chevron stripes and flower-like motifs running down the sleeves and pants. He poses confidently under soft directional lighting that casts sharp shadows on the floor. His look is completed with chunky white sneakers, futuristic sunglasses, and silver rings, exuding a cool, modern attitude. Floating playfully around his body is a small glowing green jellyfish, softly pulsing with light and casting ethereal reflections across his outfit and shoes."
https://static.higgsfield.ai/8f4a45b4-dd01-4b76-8d4c-30285fdd36b7.mp4,"A golden-hour fashion portrait of a young woman with deep brown skin and long braided hair, wearing a beige polo shirt and matching cap, standing outdoors beneath a soft cloudy sky. She slowly turns her head to the side, the brim of her cap casting a gentle shadow across her face as the sunlight highlights the soft curves of her cheekbone. Her gold hoop earrings sway subtly with the motion, and the atmosphere is calm and sun-warmed. Floating playfully around her face is a small glowing green jellyfish, softly pulsing with light and casting ethereal reflections on her cheek and shoulder. The mood is quiet, graceful, and otherworldly."
https://static.higgsfield.ai/de00785b-de72-47c7-b414-804aab4caa60.mp4,"A dynamic studio fashion portrait of a stylish young man with bleached hair, wearing a black paisley bandana, oversized rectangular sunglasses, and a graphic streetwear shirt in shades of purple, blue, and red. He slightly turns his head to the side while opening his mouth mid-speech, adding a sense of animated energy and personality to the frame. Floating playfully around his face is a small glowing green jellyfish, softly pulsing with light and casting ethereal reflections on his glasses, jawline, and bandana."
https://static.higgsfield.ai/1935dd15-5a75-445a-a23d-c6edbbdf16e9.mp4,"Here is the full prompt with your updated effect of many red fish, tailored to the uploaded photo: A fashion-forward outdoor photo of a striking woman with voluminous curly black hair, wearing a bold red ribbed tank top and matching shorts, seated confidently on a white bench against a textured white wall. Her long legs stretch elegantly across the asphalt, accentuated by sharp white heels. Her expression is fierce and direct, radiating self-assured energy. Surrounding her in midair, a dense school of vibrant red fish explodes outward in slow motion—hundreds of them, small and semi-transparent, shimmering with glowing ruby tones. The fish swirl chaotically yet beautifully around her upper body and face, trailing flickering red light that casts sharp, surreal reflections on the wall and pavement. The bright natural sunlight enhances the gloss of her skin and the high-contrast red palette, while the sheer number of fish gives the scene a sense of powerful motion, like she's at the center of an otherworldly burst. The overall effect is both surreal and glamorous, blending street-style edge with dreamlike energy. Shot at a low angle to amplify her pose and presence."
